kana,unicode,svgFile,pngFile,strokeCount
心,0x5fc3,05fc3.svg,05fc3.png,4
忄,0x5fc4,05fc4.svg,05fc4.png,3
必,0x5fc5,05fc5.svg,05fc5.png,5
忌,0x5fcc,05fcc.svg,05fcc.png,7
忍,0x5fcd,05fcd.svg,05fcd.png,7
忖,0x5fd6,05fd6.svg,05fd6.png,6
志,0x5fd7,05fd7.svg,05fd7.png,7
忘,0x5fd8,05fd8.svg,05fd8.png,7
忙,0x5fd9,05fd9.svg,05fd9.png,6
応,0x5fdc,05fdc.svg,05fdc.png,7
忝,0x5fdd,05fdd.svg,05fdd.png,8
忠,0x5fe0,05fe0.svg,05fe0.png,8
忤,0x5fe4,05fe4.svg,05fe4.png,7
快,0x5feb,05feb.svg,05feb.png,7
忰,0x5ff0,05ff0.svg,05ff0.png,7
忱,0x5ff1,05ff1.svg,05ff1.png,7
念,0x5ff5,05ff5.svg,05ff5.png,8
忸,0x5ff8,05ff8.svg,05ff8.png,7
忻,0x5ffb,05ffb.svg,05ffb.png,7
忽,0x5ffd,05ffd.svg,05ffd.png,8
忿,0x5fff,05fff.svg,05fff.png,8
怎,0x600e,0600e.svg,0600e.png,9
怏,0x600f,0600f.svg,0600f.png,8
怐,0x6010,06010.svg,06010.png,8
怒,0x6012,06012.svg,06012.png,9
怕,0x6015,06015.svg,06015.png,8
怖,0x6016,06016.svg,06016.png,8
怙,0x6019,06019.svg,06019.png,8
怛,0x601b,0601b.svg,0601b.png,8
怜,0x601c,0601c.svg,0601c.png,8
思,0x601d,0601d.svg,0601d.png,9
怠,0x6020,06020.svg,06020.png,9
怡,0x6021,06021.svg,06021.png,8
急,0x6025,06025.svg,06025.png,9
怦,0x6026,06026.svg,06026.png,8
性,0x6027,06027.svg,06027.png,8
怨,0x6028,06028.svg,06028.png,9
怩,0x6029,06029.svg,06029.png,8
怪,0x602a,0602a.svg,0602a.png,8
怫,0x602b,0602b.svg,0602b.png,8
怯,0x602f,0602f.svg,0602f.png,8
怱,0x6031,06031.svg,06031.png,9
怺,0x603a,0603a.svg,0603a.png,8
恁,0x6041,06041.svg,06041.png,10
恂,0x6042,06042.svg,06042.png,9
恃,0x6043,06043.svg,06043.png,9
恆,0x6046,06046.svg,06046.png,9
恊,0x604a,0604a.svg,0604a.png,9
恋,0x604b,0604b.svg,0604b.png,10
恍,0x604d,0604d.svg,0604d.png,9
恐,0x6050,06050.svg,06050.png,10
恒,0x6052,06052.svg,06052.png,9
恕,0x6055,06055.svg,06055.png,10
恙,0x6059,06059.svg,06059.png,10
恚,0x605a,0605a.svg,0605a.png,10
